Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
1,0,0,0,0
2,0,0,0,0
3,1,1,0,0.672
4,19,1417,0,11.632
5,10,2531,0,6.72
6,10,2538,0,6.72
7,10,2527,0,6.72
8,10,2529,0,6.72
9,10,2537,0,6.72
10,10,2526,0,6.72
11,10,2539,0,6.72
12,10,2539,0,6.72
13,9,2539,0,6.048
14,10,2529,0,6.72
15,10,2533,0,6.72
16,10,2528,0,6.72
17,10,2524,0,6.72
18,10,2530,0,6.72
19,10,2532,0,6.72
20,10,2530,0,6.72
21,10,2534,0,6.72
22,10,2524,0,6.72
23,10,2535,0,6.72
24,10,2535,0,6.72
25,10,2536,0,6.72
26,10,2533,0,6.72
27,10,2525,0,6.72
28,10,2534,0,6.72
29,10,2530,0,6.72
30,9,2534,0,6.048
31,10,2519,0,6.72
32,8,1995,2,5.376
33,10,2527,0,6.72
34,10,2527,0,6.72
35,10,2527,0,6.72
36,10,2527,0,6.72
37,10,2529,0,6.72
38,10,2528,0,6.72
39,10,2527,0,6.72
40,10,2524,0,6.72
41,10,2532,0,6.72
42,11,2541,0,6.944
43,10,2533,0,6.72
44,10,2534,0,6.72
45,10,2535,0,6.72
46,10,2531,0,6.72
47,9,2529,0,6.048
48,10,2525,0,6.72
49,10,2530,0,6.72
50,10,2538,0,6.72
51,10,2530,0,6.72
52,10,2538,0,6.72
53,10,2532,0,6.72
54,10,2525,0,6.72
55,10,2528,0,6.72
56,10,2542,0,6.72
57,10,2529,0,6.72
58,10,2527,0,6.72
59,10,2526,0,6.72
60,10,2533,0,6.72
61,10,2522,0,6.72
62,10,2531,0,6.72
63,10,2523,0,6.72
64,9,2541,0,6.048
65,10,2535,0,6.72
66,10,2521,0,6.72
67,10,2531,0,6.72
68,10,2533,0,6.72
69,10,2519,0,6.72
70,10,2538,0,6.72
71,10,2531,0,6.72
72,10,2533,0,6.72
73,10,2528,0,6.72
74,10,2538,0,6.72
75,10,2521,0,6.72
76,10,2537,0,6.72
77,10,2532,0,6.72
78,10,2537,0,6.72
79,10,2529,0,6.72
