Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,3,3,0,2.016
4,19,1688,0,11.632
5,10,2191,0,6.72
6,10,2199,0,6.72
7,10,2226,0,6.72
8,10,2219,0,6.72
9,10,2239,0,6.72
10,10,2274,0,6.72
11,10,2264,0,6.72
12,10,2254,0,6.72
13,10,2266,0,6.72
14,9,2277,0,6.048
15,10,2235,0,6.72
16,10,2259,0,6.72
17,10,2262,0,6.72
18,10,2271,0,6.72
19,10,2240,0,6.72
20,10,2283,0,6.72
21,10,2243,0,6.72
22,10,2253,0,6.72
23,10,2240,0,6.72
24,10,2243,0,6.72
25,10,2239,0,6.72
26,10,2286,0,6.72
27,10,2257,0,6.72
28,11,2268,0,6.944
29,10,2261,0,6.72
30,9,2269,0,6.048
31,10,2269,0,6.72
32,10,2233,0,6.72
33,10,2239,0,6.72
34,10,2253,0,6.72
35,10,2250,0,6.72
36,10,2248,0,6.72
37,10,2246,0,6.72
38,10,2225,0,6.72
39,10,2256,0,6.72
40,10,2244,0,6.72
41,10,2220,0,6.72
42,10,2247,0,6.72
43,10,2247,0,6.72
44,10,2229,0,6.72
45,10,2233,0,6.72
46,9,2234,0,6.048
47,10,2258,0,6.72
48,10,2261,0,6.72
49,10,2248,0,6.72
50,10,2239,0,6.72
51,10,2262,0,6.72
52,10,2263,0,6.72
53,11,2239,0,6.944
54,10,2266,0,6.72
55,10,2248,0,6.72
56,10,2254,0,6.72
57,10,2258,0,6.72
58,10,2265,0,6.72
59,10,2227,0,6.72
60,10,2287,0,6.72
61,10,2234,0,6.72
62,10,2245,0,6.72
63,9,2238,0,6.048
64,10,2285,0,6.72
65,9,2065,1,6.048
66,10,2259,0,6.72
67,10,2230,0,6.72
68,10,2230,0,6.72
69,10,2251,0,6.72
70,10,2239,0,6.72
71,10,2241,0,6.72
72,10,2222,0,6.72
73,10,2241,0,6.72
74,10,2213,0,6.72
75,10,2251,0,6.72
76,10,2251,0,6.72
77,10,2224,0,6.72
78,11,2236,0,6.944
79,10,2243,0,6.72
80,9,2246,0,6.048
81,10,2216,0,6.72
82,10,2221,0,6.72
83,10,2248,0,6.72
84,10,2241,0,6.72
85,10,2240,0,6.72
86,10,2219,0,6.72
87,10,2222,0,6.72
88,10,2222,0,6.72
89,10,2257,0,6.72
90,10,2269,0,6.72
91,10,2240,0,6.72
92,10,2245,0,6.72
93,10,2235,0,6.72
94,10,2239,0,6.72
95,10,2225,0,6.72
96,9,2237,0,6.048
97,10,2211,0,6.72
98,10,2268,0,6.72
99,10,2229,0,6.72
100,10,2273,0,6.72
101,10,2255,0,6.72
102,10,2219,0,6.72
103,11,2253,0,6.944
104,10,2243,0,6.72
105,10,2258,0,6.72
106,10,2202,0,6.72
107,10,2251,0,6.72
108,10,2271,0,6.72
109,10,2226,0,6.72
110,10,2254,0,6.72
111,10,2241,0,6.72
112,10,2265,0,6.72
113,10,2260,0,6.72
114,10,2239,0,6.72
115,10,2245,0,6.72
116,9,2232,0,6.048
117,10,2221,0,6.72
118,10,2260,0,6.72
119,10,2255,0,6.72
120,10,2255,0,6.72
121,10,2236,0,6.72
122,10,2245,0,6.72
123,10,2246,0,6.72
124,10,2261,0,6.72
125,10,2249,0,6.72
126,10,2220,0,6.72
127,11,2242,0,6.944
128,10,2249,0,6.72
129,10,2264,0,6.72
130,10,2238,0,6.72
131,10,2234,0,6.72
132,10,2225,0,6.72
133,9,2240,0,6.048
134,10,2224,0,6.72
135,10,2239,0,6.72
136,10,2245,0,6.72
137,10,2249,0,6.72
138,10,2250,0,6.72
139,10,2227,0,6.72
140,10,2245,0,6.72
141,10,2242,0,6.72
142,10,2254,0,6.72
143,10,2230,0,6.72
144,10,2242,0,6.72
145,10,2247,0,6.72
146,10,2221,0,6.72
147,10,2254,0,6.72
148,10,2247,0,6.72
149,9,2222,0,6.048
150,10,2263,0,6.72
151,10,2229,0,6.72
152,11,2246,0,6.944
153,10,2222,0,6.72
154,10,2239,0,6.72
155,10,2238,0,6.72
156,10,2244,0,6.72
157,10,2266,0,6.72
158,10,2243,0,6.72
159,10,2261,0,6.72
160,10,2235,0,6.72
161,10,2263,0,6.72
162,10,2234,0,6.72
163,10,2234,0,6.72
164,9,2225,0,6.048
165,10,2238,0,6.72
166,10,2255,0,6.72
167,10,2232,0,6.72
168,10,2231,0,6.72
169,10,2247,0,6.72
170,10,2244,0,6.72
171,10,2265,0,6.72
172,10,2244,0,6.72
173,10,2236,0,6.72
174,10,2252,0,6.72
175,10,2234,0,6.72
176,10,2212,0,6.72
177,11,2244,0,6.944
178,10,2199,0,6.72
179,10,2242,0,6.72
180,10,2244,0,6.72
181,10,2228,0,6.72
182,9,2256,0,6.048
183,10,2271,0,6.72
184,10,2215,0,6.72
185,10,2246,0,6.72
186,10,2244,0,6.72
187,10,2225,0,6.72
188,10,2250,0,6.72
189,10,2254,0,6.72
190,10,2225,0,6.72
191,10,2246,0,6.72
192,10,2259,0,6.72
193,10,2224,0,6.72
194,10,2242,0,6.72
195,10,2229,0,6.72
196,10,2257,0,6.72
197,10,2242,0,6.72
198,9,2244,0,6.048
199,10,2232,0,6.72
200,10,2241,0,6.72
201,10,2273,0,6.72
202,11,2225,0,6.944
203,10,2233,0,6.72
204,10,2234,0,6.72
205,10,2249,0,6.72
206,10,2230,0,6.72
207,10,2241,0,6.72
208,10,2230,0,6.72
209,10,2249,0,6.72
210,10,2231,0,6.72
211,10,2229,0,6.72
212,10,2247,0,6.72
213,10,2224,0,6.72
214,9,2245,0,6.048
215,10,2242,0,6.72
216,9,2068,1,6.048
217,10,2245,0,6.72
218,10,2204,0,6.72
219,10,2240,0,6.72
220,10,2216,0,6.72
221,10,2254,0,6.72
222,10,2252,0,6.72
223,10,2234,0,6.72
224,10,2252,0,6.72
225,10,2241,0,6.72
226,10,2214,0,6.72
227,10,2216,0,6.72
228,10,2253,0,6.72
229,10,2276,0,6.72
230,10,2266,0,6.72
231,10,2236,0,6.72
232,9,2255,0,6.048
233,10,2230,0,6.72
234,10,2252,0,6.72
235,10,2264,0,6.72
236,10,2268,0,6.72
237,10,2260,0,6.72
238,10,2247,0,6.72
239,10,2245,0,6.72
240,10,2236,0,6.72
241,11,2252,0,6.944
242,10,2236,0,6.72
243,10,2230,0,6.72
244,10,2246,0,6.72
245,10,2252,0,6.72
246,10,2221,0,6.72
247,10,2242,0,6.72
248,10,2257,0,6.72
249,9,2219,0,6.048
250,10,2260,0,6.72
251,9,1923,1,6.048
252,10,2227,0,6.72
253,10,2257,0,6.72
254,10,2234,0,6.72
255,10,2237,0,6.72
256,10,2259,0,6.72
257,10,2230,0,6.72
258,10,2214,0,6.72
259,10,2244,0,6.72
260,10,2242,0,6.72
261,10,2250,0,6.72
262,10,2244,0,6.72
263,10,2210,0,6.72
264,10,2221,0,6.72
265,9,2232,0,6.048
266,10,2218,0,6.72
267,10,2238,0,6.72
268,10,2257,0,6.72
269,10,2229,0,6.72
270,10,2234,0,6.72
271,10,2242,0,6.72
272,10,2233,0,6.72
273,10,2252,0,6.72
274,10,2207,0,6.72
275,10,2243,0,6.72
276,10,2269,0,6.72
277,10,2201,0,6.72
278,10,2238,0,6.72
279,10,2248,0,6.72
280,11,2224,0,6.944
281,10,2245,0,6.72
282,9,2247,0,6.048
283,10,2239,0,6.72
284,10,2238,0,6.72
285,10,2238,0,6.72
286,10,2244,0,6.72
287,10,2245,0,6.72
288,10,2236,0,6.72
289,10,2237,0,6.72
290,10,2225,0,6.72
291,10,2253,0,6.72
292,10,2225,0,6.72
293,10,2226,0,6.72
294,10,2251,0,6.72
295,10,2236,0,6.72
296,10,2215,0,6.72
297,10,2239,0,6.72
298,9,2241,0,6.048
299,10,2212,0,6.72
300,10,2241,0,6.72
301,10,2224,0,6.72
302,10,2244,0,6.72
303,8,2197,0,5.376
304,8,413,0,5.048
