Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,717,13,0,7790.456
5,1150,10,0,12653.12
6,1169,9,0,12859.36
7,1152,10,0,12688.448
8,1146,10,0,12610.56
9,1152,8,0,12671.68
10,1161,9,0,12774.24
11,1162,10,0,12786.24
12,1174,10,0,12930.688
13,1156,9,0,12719.68
14,1155,9,0,12707.68
15,1157,10,0,12731.68
16,1162,10,0,12786.24
17,1157,10,0,12743.008
18,1156,10,0,12719.68
19,1150,8,0,12653.12
20,1126,10,0,12386.88
21,1133,7,0,12476.768
22,1121,13,0,12326.88
23,1117,10,0,12289.76
24,1134,8,0,12477.44
25,1126,11,0,12386.88
26,1110,10,0,12217.088
27,1119,9,0,12308.32
28,1097,9,0,12066.08
29,1086,11,0,11944.96
30,1101,5,0,12119.968
31,1084,14,0,11920.96
32,1157,9,0,12731.68
33,1104,10,0,12139.2
34,1124,10,0,12374.208
35,1116,8,0,12277.76
36,1103,11,0,12132.64
37,1098,11,0,12066.304
38,1126,10,0,12398.208
39,1137,10,0,12508
40,1126,10,0,12386.88
41,1105,9,0,12151.2
42,1146,10,0,12610.56
43,1139,10,0,12543.328
44,1162,10,0,12786.24
45,1130,10,0,12429.44
46,1164,10,0,12810.24
47,1130,9,0,12429.44
48,1138,10,0,12520
49,1138,10,0,12520
50,1133,10,0,12476.768
51,1141,8,0,12550.56
52,1128,10,0,12410.88
53,1131,11,0,12441.44
54,1168,8,0,12852.8
55,1133,9,0,12476.768
56,1144,10,0,12586.56
57,1121,9,0,12326.88
58,1114,11,0,12253.76
59,1142,7,0,12568
60,1099,10,0,12095.968
61,1117,10,0,12289.76
62,1153,9,0,12683.68
63,1110,10,0,12211.2
64,1126,9,0,12386.88
65,1144,8,0,12597.888
66,1137,11,0,12508
67,1124,8,0,12362.88
68,1139,11,0,12532
69,1134,10,0,12477.44
70,1119,11,0,12307.872
71,1110,9,0,12205.76
72,1116,10,0,12277.76
73,1105,10,0,12156.64
74,1142,9,0,12562.56
75,1117,9,0,12295.648
76,1119,10,0,12308.32
77,1108,10,0,12187.2
78,1143,10,0,12580
79,1093,10,0,12018.08
80,1149,9,0,12641.12
81,1122,10,0,12355.648
82,1127,10,0,12398.88
83,1137,9,0,12508
84,1156,6,0,12719.68
85,1101,9,0,12119.968
86,1109,13,0,12199.2
87,1135,10,0,12484
88,1112,10,0,12241.088
89,1124,10,0,12368.32
90,1123,9,0,12350.88
91,1120,10,0,12320.32
92,1150,9,0,12664.448
93,1122,8,0,12344.32
94,1113,10,0,12241.76
95,1146,9,0,12616.448
96,1126,8,0,12386.88
97,1120,12,0,12320.32
98,1144,9,0,12586.56
99,1115,8,0,12265.76
100,1108,11,0,12198.528
101,1126,10,0,12386.88
102,1132,10,0,12453.44
103,1134,11,0,12465.664
104,1096,9,0,12065.408
105,1121,10,0,12326.88
106,1117,10,0,12289.76
107,1125,8,0,12374.88
108,1132,9,0,12464.768
109,1123,10,0,12350.88
110,1113,11,0,12247.2
111,1119,8,0,12308.32
112,1126,10,0,12398.208
113,1128,9,0,12405.44
114,1116,10,0,12277.76
115,1105,8,0,12162.528
116,1116,11,0,12277.76
117,1138,10,0,12520
118,1116,9,0,12277.76
119,1120,9,0,12326.208
120,1126,9,0,12386.88
121,1126,9,0,12386.88
122,1116,8,0,12277.76
123,1104,11,0,12155.968
124,1119,9,0,12308.32
125,1135,10,0,12484
126,1143,9,0,12574.56
127,1121,11,0,12332.32
128,1137,10,0,12508
129,1100,9,0,12113.408
130,1100,9,0,12096.64
131,1088,11,0,11963.52
132,1150,10,0,12653.12
133,1142,9,0,12568
134,1146,11,0,12605.12
135,1115,9,0,12277.088
136,1123,11,0,12344.544
137,1123,8,0,12350.88
138,1150,11,0,12653.12
139,1157,10,0,12731.68
140,1145,9,0,12609.888
141,1120,7,0,12320.32
142,1132,11,0,12453.44
143,1148,10,0,12629.12
144,1152,10,0,12683.008
145,1146,9,0,12610.56
146,1116,10,0,12277.76
147,1135,10,0,12495.328
148,1143,9,0,12574.56
149,1140,10,0,12544
150,1143,10,0,12574.56
151,1161,10,0,12774.24
152,1138,10,0,12531.328
153,1139,8,0,12532
154,1130,12,0,12429.44
155,1105,6,0,12156.64
156,1133,12,0,12471.328
157,1148,10,0,12634.56
158,1123,9,0,12350.88
159,1122,10,0,12344.32
160,1104,10,0,12144.64
161,1125,10,0,12374.88
162,1145,10,0,12604.448
163,1129,10,0,12422.88
164,1132,9,0,12453.44
165,1121,10,0,12332.32
166,1119,9,0,12308.32
167,1131,10,0,12452.768
168,1128,9,0,12410.88
169,1120,11,0,12308.544
170,1125,10,0,12374.88
171,1085,9,0,11932.96
172,1129,9,0,12417.44
173,1123,11,0,12367.648
174,1126,10,0,12386.88
175,1138,7,0,12520
176,1139,8,0,12537.888
177,1111,11,0,12223.2
178,1121,10,0,12332.32
179,1141,10,0,12550.56
180,1113,9,0,12253.088
181,1109,10,0,12199.2
182,1144,10,0,12586.56
183,1101,10,0,12108.64
184,1105,10,0,12156.64
185,1121,8,0,12338.208
186,1127,9,0,12398.88
187,1115,11,0,12265.76
188,1150,9,0,12653.12
189,1100,11,0,12096.64
190,1115,8,0,12277.088
191,1127,11,0,12398.88
192,1122,9,0,12338.88
193,1096,10,0,12054.08
194,1103,9,0,12132.64
195,1117,9,0,12301.088
196,1106,10,0,12163.2
197,1135,10,0,12484
198,1131,9,0,12446.88
199,1111,10,0,12217.76
200,1119,10,0,12308.32
201,1098,7,0,12089.408
202,1141,10,0,12550.56
203,1110,12,0,12199.424
204,1107,9,0,12186.528
205,1135,10,0,12489.44
206,1123,10,0,12350.88
207,1092,10,0,12011.52
208,1103,9,0,12132.64
209,1132,10,0,12459.328
210,1137,10,0,12513.44
211,1148,10,0,12629.12
212,1143,10,0,12574.56
213,1165,8,0,12822.24
214,1129,10,0,12417.44
215,1140,11,0,12555.328
216,1108,9,0,12187.2
217,1127,11,0,12393.44
218,1100,9,0,12102.08
219,1114,7,0,12253.76
220,1151,12,0,12671.008
221,1115,10,0,12265.76
222,1145,10,0,12598.56
223,1095,8,0,12042.08
224,1144,10,0,12597.888
225,1126,9,0,12386.88
226,1138,8,0,12520
227,1127,11,0,12398.88
228,1136,9,0,12496
229,1096,9,0,12065.408
230,1140,8,0,12544
231,1127,11,0,12398.88
232,1138,9,0,12520
233,1106,9,0,12174.528
234,1147,10,0,12617.12
235,1149,10,0,12641.12
236,1117,10,0,12277.984
237,1147,10,0,12622.56
238,1123,8,0,12362.208
239,1138,12,0,12520
240,1126,6,0,12386.88
241,1089,12,0,11986.848
242,1127,10,0,12398.88
243,1125,7,0,12374.88
244,1082,9,0,11896.96
245,1141,10,0,12567.328
246,1153,11,0,12683.68
247,1124,8,0,12362.88
248,1106,8,0,12168.64
249,1150,10,0,12664.448
250,1120,11,0,12320.32
251,1096,9,0,12054.08
252,1123,11,0,12350.88
253,1157,9,0,12731.68
254,1115,10,0,12277.088
255,1124,10,0,12362.88
256,1157,10,0,12731.68
257,1116,9,0,12272.32
258,1133,8,0,12476.768
259,1117,11,0,12289.76
260,1137,10,0,12508
261,1138,10,0,12520
262,1113,9,0,12241.76
263,1091,10,0,12010.848
264,1150,10,0,12653.12
265,1115,9,0,12260.32
266,1112,10,0,12246.528
267,1160,10,0,12762.24
268,1118,9,0,12296.32
269,1123,9,0,12356.32
270,1132,9,0,12464.768
271,1104,10,0,12139.2
272,1107,11,0,12168.864
273,1088,9,0,11963.52
274,1106,10,0,12163.2
275,1129,9,0,12434.208
276,1120,10,0,12320.32
277,1123,9,0,12350.88
278,1114,9,0,12265.088
279,1104,10,0,12144.64
280,1140,6,0,12549.888
281,1111,12,0,12223.2
282,1105,9,0,12151.2
283,1118,9,0,12296.32
284,1155,9,0,12713.12
285,1100,11,0,12107.968
286,1115,10,0,12265.76
287,1142,9,0,12562.56
288,1141,10,0,12550.56
289,1146,9,0,12621.888
290,1129,11,0,12417.44
291,1129,8,0,12422.88
292,1148,11,0,12629.12
293,1124,9,0,12374.208
294,1129,10,0,12422.88
295,1120,10,0,12320.32
296,1126,10,0,12386.88
297,1121,10,0,12343.648
298,1101,9,0,12108.64
299,1115,10,0,12265.76
300,1116,9,0,12283.648
301,1085,10,0,11932.96
302,1122,10,0,12344.32
303,1148,10,0,12629.12
304,399,10,0,4297.808
305,0,0,0,0
