Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s), Destination Port
0,-1,-1,-1,-1,80
1,0,0,0,0,80
2,0,0,0,0,80
3,1,1,0,0.672,80
4,19,1417,0,11.632,80
5,10,2531,0,6.72,80
6,10,2538,0,6.72,80
7,10,2527,0,6.72,80
8,10,2529,0,6.72,80
9,10,2537,0,6.72,80
10,10,2526,0,6.72,80
11,10,2539,0,6.72,80
12,10,2539,0,6.72,80
13,9,2539,0,6.048,80
14,10,2529,0,6.72,80
15,10,2533,0,6.72,80
16,10,2528,0,6.72,80
17,10,2524,0,6.72,80
18,10,2530,0,6.72,80
19,10,2532,0,6.72,80
20,10,2530,0,6.72,80
21,10,2534,0,6.72,80
22,10,2524,0,6.72,80
23,10,2535,0,6.72,80
24,10,2535,0,6.72,80
25,10,2536,0,6.72,80
26,10,2533,0,6.72,80
27,10,2525,0,6.72,80
28,10,2534,0,6.72,80
29,10,2530,0,6.72,80
30,9,2534,0,6.048,80
31,10,2519,0,6.72,80
32,8,1995,2,5.376,80
33,10,2527,0,6.72,80
34,10,2527,0,6.72,80
35,10,2527,0,6.72,80
36,10,2527,0,6.72,80
37,10,2529,0,6.72,80
38,10,2528,0,6.72,80
39,10,2527,0,6.72,80
40,10,2524,0,6.72,80
41,10,2532,0,6.72,80
42,11,2541,0,6.944,80
43,10,2533,0,6.72,80
44,10,2534,0,6.72,80
45,10,2535,0,6.72,80
46,10,2531,0,6.72,80
47,9,2529,0,6.048,80
48,10,2525,0,6.72,80
49,10,2530,0,6.72,80
50,10,2538,0,6.72,80
51,10,2530,0,6.72,80
52,10,2538,0,6.72,80
53,10,2532,0,6.72,80
54,10,2525,0,6.72,80
55,10,2528,0,6.72,80
56,10,2542,0,6.72,80
57,10,2529,0,6.72,80
58,10,2527,0,6.72,80
59,10,2526,0,6.72,80
60,10,2533,0,6.72,80
61,10,2522,0,6.72,80
62,10,2531,0,6.72,80
63,10,2523,0,6.72,80
64,9,2541,0,6.048,80
65,10,2535,0,6.72,80
66,10,2521,0,6.72,80
67,10,2531,0,6.72,80
68,10,2533,0,6.72,80
69,10,2519,0,6.72,80
70,10,2538,0,6.72,80
71,10,2531,0,6.72,80
72,10,2533,0,6.72,80
73,10,2528,0,6.72,80
74,10,2538,0,6.72,80
75,10,2521,0,6.72,80
76,10,2537,0,6.72,80
77,10,2532,0,6.72,80
78,10,2537,0,6.72,80
79,10,2529,0,6.72,80
80,10,2528,0,6.272,80
81,10,2537,0,6.72,80
82,10,2536,0,6.72,80
83,10,2536,0,6.72,80
84,10,2532,0,6.72,80
85,10,2521,0,6.72,80
86,10,2533,0,6.72,80
87,10,2522,0,6.72,80
88,10,2537,0,6.72,80
89,10,2533,0,6.72,80
90,10,2528,0,6.72,80
91,10,2531,0,6.72,80
92,10,2537,0,6.72,80
93,10,2529,0,6.72,80
94,10,2532,0,6.72,80
95,10,2525,0,6.72,80
96,9,2535,0,6.048,80
97,10,2533,0,6.72,80
98,10,2521,0,6.72,80
99,10,2537,0,6.72,80
100,10,2538,0,6.72,80
101,10,2535,0,6.72,80
102,10,2531,0,6.72,80
103,10,2533,0,6.72,80
104,10,2524,0,6.72,80
105,10,2518,0,6.72,80
106,10,2530,0,6.72,80
107,10,2530,0,6.72,80
108,10,2527,0,6.72,80
109,10,2528,0,6.72,80
110,10,2541,0,6.72,80
111,10,2528,0,6.72,80
112,10,2539,0,6.72,80
113,9,2523,0,6.048,80
114,10,2531,0,6.72,80
115,10,2536,0,6.72,80
116,10,2535,0,6.72,80
117,10,2528,0,6.72,80
118,11,2523,0,6.944,80
119,10,2532,0,6.72,80
120,10,2524,0,6.72,80
121,10,2520,0,6.72,80
122,10,2522,0,6.72,80
123,10,2529,0,6.72,80
124,10,2530,0,6.72,80
125,10,2531,0,6.72,80
126,10,2530,0,6.72,80
127,10,2526,0,6.72,80
128,10,2538,0,6.72,80
129,9,2515,0,6.048,80
130,10,2526,0,6.72,80
131,10,2541,0,6.72,80
132,10,2534,0,6.72,80
133,10,2530,0,6.72,80
134,10,2527,0,6.72,80
135,10,2540,0,6.72,80
136,10,2536,0,6.72,80
137,10,2533,0,6.72,80
138,10,2531,0,6.72,80
139,10,2532,0,6.72,80
140,10,2525,0,6.72,80
141,10,2525,0,6.72,80
142,10,2533,0,6.72,80
143,10,2533,0,6.72,80
144,10,2527,0,6.72,80
145,10,2532,0,6.72,80
146,9,2533,0,6.048,80
147,10,2526,0,6.72,80
148,10,2524,0,6.72,80
149,10,2519,0,6.72,80
150,10,2532,0,6.72,80
151,10,2541,0,6.72,80
152,10,2531,0,6.72,80
153,10,2537,0,6.72,80
154,10,2522,0,6.72,80
155,10,2529,0,6.72,80
156,11,2528,0,6.944,80
157,10,2530,0,6.72,80
158,10,2523,0,6.72,80
159,10,2538,0,6.72,80
160,10,2532,0,6.72,80
161,9,2523,0,6.048,80
162,10,2525,0,6.72,80
163,10,2534,0,6.72,80
164,10,2527,0,6.72,80
165,10,2519,0,6.72,80
166,10,2528,0,6.72,80
167,10,2530,0,6.72,80
168,10,2540,0,6.72,80
169,10,2523,0,6.72,80
170,10,2529,0,6.72,80
171,10,2535,0,6.72,80
172,10,2527,0,6.72,80
173,10,2528,0,6.72,80
174,10,2537,0,6.72,80
175,10,2527,0,6.72,80
176,10,2543,0,6.72,80
177,10,2526,0,6.72,80
178,9,2534,0,6.048,80
179,10,2533,0,6.72,80
180,10,2520,0,6.72,80
181,10,2529,0,6.72,80
182,10,2541,0,6.72,80
183,10,2524,0,6.72,80
184,10,2530,0,6.72,80
185,10,2525,0,6.72,80
186,10,2535,0,6.72,80
187,10,2537,0,6.72,80
188,10,2528,0,6.72,80
189,10,2534,0,6.72,80
190,10,2524,0,6.72,80
191,10,2543,0,6.72,80
192,10,2533,0,6.72,80
193,10,2528,0,6.72,80
194,10,2529,0,6.272,80
195,10,2530,0,6.72,80
196,10,2525,0,6.72,80
197,10,2538,0,6.72,80
198,10,2538,0,6.72,80
199,10,2533,0,6.72,80
200,10,2523,0,6.72,80
201,10,2543,0,6.72,80
202,10,2528,0,6.72,80
203,10,2529,0,6.72,80
204,10,2526,0,6.72,80
205,10,2524,0,6.72,80
206,10,2536,0,6.72,80
207,10,2538,0,6.72,80
208,10,2538,0,6.72,80
209,9,2522,0,6.048,80
210,10,2526,0,6.72,80
211,10,2526,0,6.72,80
212,10,2530,0,6.72,80
213,10,2533,0,6.72,80
214,10,2523,0,6.72,80
215,10,2530,0,6.72,80
216,10,2532,0,6.72,80
217,10,2535,0,6.72,80
218,10,2529,0,6.72,80
219,10,2533,0,6.72,80
220,10,2524,0,6.72,80
221,10,2535,0,6.72,80
222,10,2530,0,6.72,80
223,10,2524,0,6.72,80
224,10,2532,0,6.72,80
225,10,2533,0,6.72,80
226,9,2542,0,6.048,80
227,10,2533,0,6.72,80
228,10,2538,0,6.72,80
229,10,2523,0,6.72,80
230,10,2538,0,6.72,80
231,10,2534,0,6.72,80
232,10,2533,0,6.72,80
233,11,2532,0,6.944,80
234,10,2531,0,6.72,80
235,10,2529,0,6.72,80
236,10,2537,0,6.72,80
237,10,2527,0,6.72,80
238,10,2525,0,6.72,80
239,10,2533,0,6.72,80
240,10,2534,0,6.72,80
241,10,2536,0,6.72,80
242,9,2532,0,6.048,80
243,10,2525,0,6.72,80
244,10,2532,0,6.72,80
245,10,2529,0,6.72,80
246,10,2532,0,6.72,80
247,10,2530,0,6.72,80
248,10,2528,0,6.72,80
249,10,2518,0,6.72,80
250,10,2537,0,6.72,80
251,10,2527,0,6.72,80
252,10,2533,0,6.72,80
253,10,2523,0,6.72,80
254,10,2528,0,6.72,80
