Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s), Destination Port
255,10,2533,0,6.72,80
256,10,2528,0,6.72,80
257,10,2529,0,6.72,80
258,10,2533,0,6.72,80
259,9,2539,0,6.048,80
260,10,2531,0,6.72,80
261,10,2539,0,6.72,80
262,10,2525,0,6.72,80
263,10,2528,0,6.72,80
264,10,2525,0,6.72,80
265,10,2531,0,6.72,80
266,10,2533,0,6.72,80
267,10,2536,0,6.72,80
268,10,2531,0,6.72,80
269,10,2529,0,6.72,80
270,10,2518,0,6.72,80
271,11,2525,0,6.944,80
272,10,2517,0,6.72,80
273,10,2525,0,6.72,80
274,10,2536,0,6.72,80
275,10,2523,0,6.72,80
276,9,2526,0,6.048,80
277,10,2537,0,6.72,80
278,10,2534,0,6.72,80
279,10,2540,0,6.72,80
280,10,2525,0,6.72,80
281,10,2535,0,6.72,80
282,10,2531,0,6.72,80
283,10,2527,0,6.72,80
284,10,2530,0,6.72,80
285,10,2522,0,6.72,80
286,10,2535,0,6.72,80
287,10,2533,0,6.72,80
288,10,2526,0,6.72,80
289,10,2531,0,6.72,80
290,10,2524,0,6.72,80
291,10,2531,0,6.72,80
292,9,2525,0,6.048,80
293,10,2527,0,6.72,80
294,10,2534,0,6.72,80
295,10,2530,0,6.72,80
296,10,2527,0,6.72,80
297,10,2522,0,6.72,80
298,10,2533,0,6.72,80
299,10,2532,0,6.72,80
300,10,2528,0,6.72,80
301,10,2531,0,6.72,80
302,10,2539,0,6.72,80
303,9,2524,0,6.048,80
304,9,1063,0,5.472,80
305,0,0,0,0,80
