Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,14,716,1,7.296
5,10,1151,0,6.72
6,9,1169,0,6.048
7,10,1151,0,6.72
8,10,1146,0,6.72
9,8,1152,2,5.376
10,9,1161,0,6.048
11,10,1162,0,6.72
12,10,1174,0,6.72
13,9,1156,1,6.048
14,9,1155,0,6.048
15,10,1157,0,6.72
16,10,1161,0,6.72
17,10,1158,0,6.72
18,10,1156,0,6.72
19,8,1150,0,5.376
20,10,1125,1,6.72
21,7,1133,0,4.704
22,13,1122,0,8.736
23,10,1116,0,6.72
24,8,1134,0,5.376
25,11,1127,0,7.392
26,10,1109,0,6.72
27,9,1119,1,6.048
28,9,1097,0,6.048
29,11,1087,0,7.392
30,5,1101,0,3.36
31,14,1083,0,9.408
32,9,1157,0,6.048
33,10,1105,0,6.72
34,10,1123,0,6.72
35,8,1117,0,5.376
36,11,1102,0,7.392
37,11,1098,0,6.944
38,10,1126,0,6.72
39,10,1138,0,6.72
40,10,1125,0,6.72
41,9,1105,0,6.048
42,10,1147,0,6.72
43,10,1138,0,6.72
44,10,1162,0,6.72
45,10,1130,0,6.72
46,10,1165,0,6.72
47,9,1129,0,6.048
48,10,1138,0,6.72
49,10,1138,0,6.72
50,10,1134,0,6.72
51,8,1140,0,5.376
52,10,1128,1,6.72
53,11,1132,0,7.392
54,8,1167,1,5.376
55,9,1134,1,6.048
56,10,1143,0,6.72
57,9,1121,0,6.048
58,11,1115,0,7.392
59,7,1141,1,4.704
60,10,1099,1,6.72
61,10,1117,0,6.72
62,9,1153,1,6.048
63,10,1110,0,6.72
64,9,1126,0,6.048
65,8,1144,0,5.376
66,11,1137,1,7.392
67,8,1124,0,5.376
68,11,1139,0,7.392
69,10,1134,0,6.72
70,11,1119,0,6.944
71,9,1110,1,6.048
72,10,1116,0,6.72
73,10,1104,0,6.72
74,9,1142,0,6.048
75,9,1118,1,6.048
76,10,1119,0,6.72
77,10,1107,0,6.72
78,10,1143,0,6.72
79,10,1091,0,6.72
80,9,1149,0,6.048
81,10,1123,0,6.72
82,10,1126,0,6.72
83,9,1137,1,6.048
84,6,1156,0,4.032
85,9,1101,0,6.048
86,13,1109,0,8.736
87,10,1134,0,6.72
88,10,1113,0,6.72
89,10,1124,0,6.72
90,9,1123,1,6.048
91,10,1119,0,6.72
92,9,1150,0,6.048
93,8,1123,1,5.376
94,10,1112,0,6.72
95,9,1147,1,6.048
96,8,1125,0,5.376
97,12,1120,0,8.064
98,9,1145,0,6.048
99,8,1114,0,5.376
100,11,1109,1,7.392
101,10,1128,0,6.72
102,10,1129,0,6.72
103,11,1136,0,6.944
104,9,1094,0,6.048
105,10,1121,0,6.72
106,10,1117,0,6.72
107,8,1126,1,5.376
108,9,1131,0,6.048
109,10,1123,0,6.72
110,11,1113,0,7.392
111,8,1120,0,5.376
112,10,1125,0,6.72
113,9,1127,1,6.048
114,10,1117,0,6.72
115,8,1105,0,5.376
116,11,1116,1,7.392
117,10,1138,0,6.72
118,8,1116,1,5.376
119,10,1120,0,6.72
120,9,1126,0,6.048
121,9,1126,1,6.048
122,8,1117,0,5.376
123,11,1103,1,7.392
124,9,1118,1,6.048
125,10,1136,0,6.72
126,9,1143,0,6.048
127,11,1120,0,7.392
128,10,1138,0,6.72
129,9,1099,0,6.048
130,9,1102,0,6.048
131,11,1087,0,7.392
132,10,1150,0,6.72
133,9,1142,0,6.048
134,11,1145,0,7.392
135,9,1116,0,6.048
136,11,1123,0,6.944
137,8,1123,1,5.376
138,11,1149,0,7.392
139,10,1158,0,6.72
140,9,1145,0,6.048
141,7,1120,0,4.704
142,11,1132,1,7.392
143,10,1148,0,6.72
144,10,1152,0,6.72
145,10,1146,0,6.72
146,9,1116,0,6.048
147,10,1137,0,6.72
148,9,1140,0,6.048
149,10,1141,0,6.72
150,10,1143,0,6.72
151,10,1160,0,6.72
152,10,1139,0,6.72
153,8,1139,0,5.376
154,11,1130,0,7.392
155,7,1105,0,4.704
156,12,1133,1,8.064
157,10,1147,0,6.72
158,9,1123,0,6.048
159,10,1123,0,6.72
160,10,1104,0,6.72
161,10,1125,0,6.72
162,10,1144,0,6.72
163,10,1130,0,6.72
164,9,1132,0,6.048
165,10,1121,1,6.72
166,9,1118,0,6.048
167,10,1131,0,6.72
168,9,1128,1,6.048
169,11,1122,0,6.944
170,10,1123,0,6.72
171,9,1085,0,6.048
172,9,1129,0,6.048
173,11,1124,0,7.392
174,10,1127,0,6.72
175,7,1136,1,4.704
176,8,1140,1,5.376
177,11,1111,1,7.392
178,10,1122,0,6.72
179,9,1139,0,6.048
180,10,1113,0,6.72
181,10,1109,0,6.72
182,10,1143,0,6.72
183,10,1102,0,6.72
184,10,1104,0,6.72
185,8,1121,1,5.376
186,9,1128,0,6.048
187,10,1116,0,6.72
188,10,1149,0,6.72
189,10,1099,0,6.72
190,9,1116,0,6.048
191,11,1126,0,7.392
192,9,1124,0,6.048
193,10,1095,0,6.72
194,9,1105,2,6.048
195,9,1114,0,6.048
196,10,1106,0,6.72
197,10,1136,0,6.72
198,9,1130,0,6.048
199,10,1111,0,6.72
200,10,1119,0,6.72
201,7,1099,0,4.704
202,10,1140,0,6.72
203,12,1112,1,7.616
204,9,1105,1,6.048
205,10,1135,0,6.72
206,10,1124,0,6.72
207,9,1093,0,6.048
208,10,1103,0,6.72
209,10,1132,0,6.72
210,10,1137,0,6.72
211,10,1146,0,6.72
212,10,1143,0,6.72
213,8,1166,0,5.376
214,10,1130,0,6.72
215,11,1138,0,7.392
216,9,1108,0,6.048
217,11,1128,0,7.392
218,9,1100,0,6.048
219,7,1114,1,4.704
220,12,1151,0,8.064
221,10,1115,0,6.72
222,10,1145,0,6.72
223,8,1095,1,5.376
224,10,1145,0,6.72
225,9,1126,0,6.048
226,8,1137,0,5.376
227,11,1126,2,7.392
228,9,1136,0,6.048
229,9,1096,1,6.048
230,8,1140,1,5.376
231,11,1127,0,7.392
232,9,1139,0,6.048
233,9,1108,1,6.048
234,10,1145,0,6.72
235,10,1149,0,6.72
236,10,1116,0,6.272
237,10,1147,0,6.72
238,8,1124,0,5.376
239,12,1137,0,8.064
240,6,1125,0,4.032
241,12,1089,1,8.064
242,10,1128,0,6.72
243,7,1126,1,4.704
244,9,1081,1,6.048
245,10,1141,0,6.72
246,11,1152,0,7.392
247,8,1125,1,5.376
248,8,1105,1,5.376
249,10,1151,0,6.72
250,11,1120,0,7.392
251,9,1096,0,6.048
252,11,1123,0,7.392
253,9,1157,0,6.048
254,10,1117,0,6.72
255,10,1122,0,6.72
256,9,1157,0,6.048
257,9,1116,1,6.048
258,9,1133,0,6.048
259,11,1117,0,7.392
260,10,1137,0,6.72
261,10,1137,0,6.72
262,9,1114,0,6.048
263,10,1090,0,6.72
264,10,1151,0,6.72
265,9,1115,0,6.048
266,10,1112,0,6.72
267,10,1159,0,6.72
268,9,1119,0,6.048
269,9,1124,1,6.048
270,9,1132,1,6.048
271,10,1103,0,6.72
272,10,1108,0,6.272
273,10,1087,0,6.72
274,10,1106,0,6.72
275,9,1130,0,6.048
276,10,1121,1,6.72
277,9,1122,0,6.048
278,9,1113,1,6.048
279,10,1104,0,6.72
280,6,1140,1,4.032
281,12,1113,0,8.064
282,9,1103,0,6.048
283,9,1120,1,6.048
284,9,1155,0,6.048
285,11,1098,0,7.392
286,10,1116,0,6.72
287,9,1141,0,6.048
288,10,1141,0,6.72
289,9,1147,0,6.048
290,11,1129,0,7.392
291,8,1129,0,5.376
292,11,1146,0,7.392
293,9,1125,0,6.048
294,10,1130,0,6.72
295,10,1119,0,6.72
296,10,1126,0,6.72
297,10,1122,0,6.72
298,9,1101,0,6.048
299,10,1115,0,6.72
300,9,1115,1,6.048
301,10,1086,0,6.72
302,10,1122,0,6.72
303,10,1147,0,6.72
