Time,PacketsReceived,ACKsReceived,DataPacketsLost,Goodput(kbit/s)
243,9,2156,0,6.048
244,10,2177,0,6.72
245,10,2206,0,6.72
246,10,2167,0,6.72
247,10,2183,0,6.72
248,10,2189,0,6.72
249,10,2190,0,6.72
250,10,2165,0,6.72
251,10,2193,0,6.72
252,10,2192,0,6.72
253,10,2194,0,6.72
254,10,2183,0,6.72
255,10,2208,0,6.72
256,10,2204,0,6.72
257,10,2181,0,6.72
258,10,2200,0,6.72
259,10,2184,0,6.72
260,10,2224,0,6.72
261,9,2199,0,6.048
262,10,2218,0,6.72
263,10,2188,0,6.72
264,10,2203,0,6.72
265,10,2217,0,6.72
266,10,2167,0,6.72
267,10,2208,0,6.72
268,10,2202,0,6.72
269,11,2207,0,6.944
270,10,2197,0,6.72
271,10,2204,0,6.72
272,10,2209,0,6.72
273,10,2196,0,6.72
274,10,2203,0,6.72
275,10,2184,0,6.72
276,10,2219,0,6.72
277,10,2171,0,6.72
278,9,2181,0,6.048
279,10,2194,0,6.72
280,10,2173,0,6.72
281,10,2193,0,6.72
282,10,2184,0,6.72
283,10,2163,0,6.72
284,10,2186,0,6.72
285,10,2205,0,6.72
286,10,2199,0,6.72
287,10,2153,0,6.72
288,10,2188,0,6.72
289,10,2199,0,6.72
290,10,2160,0,6.72
291,10,2177,0,6.72
292,10,2160,0,6.72
293,10,2148,0,6.72
294,10,2199,0,6.72
295,9,2182,0,6.048
296,10,2172,0,6.72
297,10,2190,0,6.72
298,10,2191,0,6.72
299,10,2198,0,6.72
300,10,2174,0,6.72
301,11,2191,0,6.944
302,10,2187,0,6.72
303,15,1599,0,10.008
304,0,0,0,0
