Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,0,0,0,0
2,0,0,0,0
3,4,2,0,2.688
4,1696,19,0,18639.552
5,2190,10,0,24186.56
6,2200,10,0,24301.12
7,2225,10,0,24579.36
8,2217,10,0,24488.8
9,2240,10,0,24748.48
10,2274,10,0,25118.4
11,2266,10,0,25033.28
12,2254,10,0,24900.16
13,2266,10,0,25033.28
14,2277,9,0,25165.728
15,2233,10,0,24669.92
16,2261,10,0,24978.72
17,2262,10,0,24985.28
18,2269,10,0,25069.28
19,2241,10,0,24755.04
20,2285,10,0,25244.96
21,2241,10,0,24755.04
22,2252,10,0,24876.16
23,2241,10,0,24755.04
24,2243,10,0,24779.04
25,2240,10,0,24748.48
26,2285,10,0,25239.52
27,2258,10,0,24948.16
28,2268,11,0,25045.504
29,2261,10,0,24973.28
30,2268,9,0,25057.28
31,2269,10,0,25075.168
32,2233,10,0,24669.92
33,2238,10,0,24724.48
34,2254,10,0,24900.16
35,2250,10,0,24852.16
36,2248,10,0,24833.6
37,2246,10,0,24815.04
38,2223,10,0,24555.36
39,2258,10,0,24942.72
40,2245,10,0,24803.04
41,2218,10,0,24500.8
42,2248,10,0,24833.6
43,2246,10,0,24809.6
44,2232,10,0,24657.92
45,2231,10,0,24640.48
46,2235,10,0,24693.92
47,2256,9,0,24930.048
48,2262,10,0,24990.72
49,2248,10,0,24833.6
50,2237,10,0,24712.48
51,2264,10,0,25009.28
52,2262,10,0,24990.72
53,2240,11,0,24731.264
54,2264,10,0,25009.28
55,2250,10,0,24857.6
56,2255,10,0,24912.16
57,2256,10,0,24924.16
58,2266,10,0,25033.28
59,2228,10,0,24609.92
60,2285,10,0,25244.96
61,2235,10,0,24688.48
62,2244,10,0,24791.04
63,2236,9,0,24706.368
64,2288,10,0,25280.96
65,2239,10,0,24731.04
66,2261,10,0,24978.72
67,2228,10,0,24609.92
68,2230,10,0,24633.92
69,2251,10,0,24869.6
70,2239,10,0,24731.04
71,2240,10,0,24748.48
72,2223,10,0,24555.36
73,2241,10,0,24755.04
74,2214,10,0,24458.24
75,2250,10,0,24852.16
76,2249,10,0,24845.6
77,2226,10,0,24591.36
78,2235,11,0,24676.704
79,2245,10,0,24803.04
80,2242,10,0,24767.04
81,2218,9,0,24512.128
82,2223,10,0,24555.36
83,2247,10,0,24821.6
84,2240,10,0,24743.04
85,2241,10,0,24755.04
86,2220,10,0,24524.8
87,2220,10,0,24524.8
88,2224,10,0,24567.36
89,2257,10,0,24930.72
90,2266,10,0,25033.28
91,2241,10,0,24755.04
92,2246,10,0,24815.04
93,2235,10,0,24688.48
94,2238,10,0,24724.48
95,2227,10,0,24597.92
96,2235,10,0,24688.48
97,2210,9,0,24421.568
98,2269,10,0,25069.28
99,2229,10,0,24621.92
100,2275,10,0,25135.84
101,2254,10,0,24900.16
102,2218,10,0,24500.8
103,2254,11,0,24888.384
104,2243,10,0,24779.04
105,2258,10,0,24942.72
106,2200,10,0,24301.12
107,2253,10,0,24888.16
108,2272,10,0,25099.84
109,2223,10,0,24555.36
110,2256,10,0,24924.16
111,2241,10,0,24755.04
112,2264,10,0,25009.28
113,2261,10,0,24978.72
114,2239,10,0,24736.48
115,2245,10,0,24797.6
116,2232,9,0,24669.248
117,2221,10,0,24531.36
118,2260,10,0,24966.72
119,2255,10,0,24912.16
120,2254,10,0,24900.16
121,2238,10,0,24724.48
122,2244,10,0,24785.6
123,2246,10,0,24815.04
124,2260,10,0,24966.72
125,2248,10,0,24833.6
126,2221,10,0,24531.36
127,2244,11,0,24779.264
128,2249,10,0,24845.6
129,2262,10,0,24990.72
130,2240,10,0,24743.04
131,2234,10,0,24676.48
132,2224,10,0,24567.36
133,2242,9,0,24778.368
134,2222,10,0,24543.36
135,2240,10,0,24748.48
136,2244,10,0,24785.6
137,2250,10,0,24857.6
138,2245,10,0,24803.04
139,2231,10,0,24640.48
140,2244,10,0,24791.04
141,2242,10,0,24767.04
142,2254,10,0,24900.16
143,2230,10,0,24633.92
144,2241,10,0,24755.04
145,2248,10,0,24833.6
146,2222,10,0,24548.8
147,2255,10,0,24906.72
148,2245,10,0,24803.04
149,2224,9,0,24578.688
150,2261,10,0,24978.72
151,2229,10,0,24621.92
152,2247,11,0,24809.824
153,2220,10,0,24524.8
154,2241,10,0,24755.04
155,2236,10,0,24700.48
156,2246,10,0,24809.6
157,2267,9,0,25045.28
158,2241,10,0,24755.04
159,2263,10,0,25002.72
160,2234,10,0,24676.48
161,2262,10,0,24990.72
162,2234,10,0,24676.48
163,2235,10,0,24688.48
164,2224,10,0,24567.36
165,2238,9,0,24735.808
166,2255,10,0,24912.16
167,2232,10,0,24652.48
168,2232,10,0,24657.92
169,2248,10,0,24833.6
170,2243,10,0,24779.04
171,2264,10,0,25009.28
172,2244,10,0,24791.04
173,2237,10,0,24712.48
174,2252,10,0,24876.16
175,2233,10,0,24664.48
176,2213,10,0,24446.24
177,2243,11,0,24767.264
178,2200,10,0,24301.12
179,2242,10,0,24767.04
180,2243,10,0,24779.04
181,2228,10,0,24609.92
182,2257,10,0,24936.16
183,2271,9,0,25099.168
184,2216,10,0,24476.8
185,2245,10,0,24803.04
186,2255,10,0,24912.16
187,2226,10,0,24585.92
188,2253,10,0,24888.16
189,2252,10,0,24881.6
