Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,0,0,0,0
2,0,0,0,0
3,394,15,0,4213.248
4,2534,10,0,28009.92
5,2531,10,0,27968.48
6,2530,10,0,27961.92
7,2538,10,0,28052.48
8,2527,10,0,27931.36
9,2524,10,0,27895.36
10,2527,10,0,27925.92
11,2533,10,0,27997.92
12,2525,9,0,27913.248
13,2536,10,0,28028.48
14,2530,10,0,27961.92
15,2538,10,0,28052.48
16,2526,10,0,27919.36
17,2539,10,0,28059.04
18,2518,10,0,27828.8
19,2544,10,0,28119.04
20,2534,9,0,28004.48
21,2531,10,0,27973.92
22,2526,10,0,27919.36
23,2531,10,0,27968.48
24,2532,10,0,27985.92
25,2538,10,0,28052.48
26,2543,10,0,28107.04
27,2534,9,0,28015.808
28,2533,10,0,27992.48
29,2539,10,0,28064.48
30,2539,10,0,28059.04
31,2535,10,0,28016.48
32,2532,10,0,27985.92
33,2528,10,0,27937.92
34,2535,10,0,28021.92
35,2533,10,0,27992.48
36,2539,10,0,28064.48
37,2536,10,0,28028.48
38,2533,10,0,27992.48
39,2530,10,0,27961.92
40,2533,11,0,27986.144
41,2541,10,0,28083.04
42,2535,10,0,28016.48
43,2531,10,0,27973.92
44,2539,9,0,28070.368
45,2543,10,0,28107.04
46,2527,10,0,27931.36
47,2539,10,0,28059.04
48,2540,10,0,28071.04
49,2529,10,0,27955.36
50,2529,10,0,27949.92
51,2527,10,0,27925.92
52,2531,10,0,27973.92
53,2534,10,0,28004.48
54,2535,10,0,28021.92
55,2530,10,0,27961.92
56,2538,10,0,28047.04
57,2535,10,0,28016.48
58,2537,10,0,28040.48
59,2533,10,0,27997.92
60,2530,10,0,27961.92
61,2531,10,0,27973.92
62,2534,9,0,28015.808
63,2534,10,0,28004.48
64,2527,10,0,27931.36
65,2535,10,0,28016.48
66,2536,10,0,28028.48
67,2531,10,0,27973.92
68,2530,10,0,27961.92
69,2529,10,0,27949.92
70,2536,10,0,28028.48
71,2533,10,0,27992.48
72,2528,10,0,27943.36
73,2544,10,0,28113.6
74,2536,10,0,28028.48
75,2539,10,0,28064.48
76,2533,10,0,27992.48
77,2531,11,0,27962.144
78,2530,10,0,27961.92
79,2530,9,0,27973.248
80,2536,10,0,28028.48
81,2538,10,0,28052.48
82,2534,10,0,28004.48
83,2526,10,0,27919.36
84,2539,10,0,28059.04
85,2532,10,0,27985.92
86,2530,10,0,27961.92
87,2530,10,0,27961.92
88,2538,10,0,28052.48
89,2536,10,0,28028.48
90,2527,10,0,27925.92
91,2531,10,0,27973.92
92,2535,10,0,28016.48
93,2389,9,0,26411.808
94,2525,10,0,27907.36
95,2533,9,0,27992.48
96,2530,10,0,27973.248
97,2537,10,0,28040.48
98,2539,10,0,28059.04
99,2537,10,0,28040.48
100,2533,10,0,27997.92
101,2533,10,0,27992.48
102,2538,10,0,28052.48
103,2536,10,0,28028.48
104,2528,10,0,27937.92
105,2526,10,0,27919.36
106,2526,10,0,27913.92
107,2531,10,0,27973.92
108,2541,10,0,28083.04
109,2526,10,0,27919.36
110,2527,10,0,27931.36
111,2538,9,0,28058.368
112,2531,10,0,27973.92
113,2526,10,0,27919.36
114,2534,11,0,27992.704
115,2533,10,0,27997.92
116,2530,10,0,27961.92
117,2527,10,0,27925.92
118,2526,10,0,27919.36
119,2531,10,0,27973.92
120,2547,10,0,28149.6
121,2532,10,319,27980.48
122,2534,10,0,28009.92
123,2202,8,0,24336.896
124,2529,10,0,27949.92
125,2532,10,0,27985.92
126,2539,10,0,28064.48
127,2529,9,0,27961.248
128,2536,10,0,28028.48
129,2526,10,0,27913.92
130,2538,10,0,28052.48
131,2532,10,0,27985.92
132,2545,10,0,28125.6
133,2529,10,0,27949.92
134,2538,10,0,28052.48
135,2523,10,0,27883.36
136,2539,10,0,28064.48
137,2529,10,0,27949.92
138,2530,10,0,27961.92
139,2530,10,0,27961.92
140,2530,10,0,27961.92
141,2525,10,0,27907.36
142,2540,10,0,28071.04
143,2533,9,0,27992.48
144,2531,10,0,27985.248
145,2540,10,0,28071.04
146,2538,10,0,28052.48
147,2530,10,0,27961.92
148,2530,10,0,27961.92
149,2541,10,0,28083.04
150,2530,11,0,27950.144
151,2529,10,0,27955.36
152,2536,10,0,28028.48
153,2527,10,0,27925.92
154,2531,10,0,27973.92
155,2529,10,0,27949.92
156,2532,10,0,27985.92
157,2531,10,0,27973.92
158,2532,10,0,27980.48
159,2522,10,0,27876.8
160,2528,9,0,27949.248
161,2533,10,0,27992.48
162,2527,10,0,27931.36
163,2525,10,0,27907.36
164,2534,10,0,28004.48
165,2520,10,0,27852.8
166,2526,10,0,27913.92
167,2527,10,0,27931.36
168,2526,10,0,27913.92
169,2537,10,0,28040.48
170,2530,10,0,27961.92
171,2540,10,0,28076.48
172,2521,10,0,27859.36
173,2534,10,0,28004.48
174,2540,10,0,28076.48
175,2523,10,0,27883.36
176,2529,10,0,27949.92
177,2537,9,0,28051.808
178,2536,10,0,28028.48
179,2533,10,0,27992.48
180,2536,10,0,28028.48
181,2542,10,0,28095.04
182,2537,10,0,28040.48
183,2522,10,0,27871.36
184,2531,10,0,27973.92
185,2524,10,0,27895.36
186,2520,10,0,27852.8
187,2526,11,0,27907.584
188,2530,10,0,27961.92
189,2537,10,0,28040.48
