Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,0,0,0,0
2,0,0,0,0
3,4,4,0,2.688
4,1586,18,0,17406.144
5,1942,10,0,21439.04
6,1947,9,0,21504.928
7,1935,10,0,21360.48
8,1918,10,0,21172.8
9,1933,10,0,21341.92
10,1943,10,0,21451.04
11,1957,10,0,21602.72
12,1949,10,0,21517.6
13,1926,10,0,21263.36
14,1933,10,0,21336.48
15,1940,10,0,21415.04
16,1902,10,0,20997.12
17,1943,10,0,21451.04
18,1928,10,0,21281.92
19,1951,10,0,21541.6
20,1921,10,0,21203.36
21,1941,10,0,21427.04
22,1933,10,0,21341.92
23,1916,9,0,21160.128
24,1940,10,0,21415.04
25,1929,10,0,21299.36
26,1934,10,0,21348.48
27,1933,10,0,21336.48
28,1897,10,0,20942.56
29,1925,10,0,21251.36
30,1937,11,0,21372.704
31,1899,10,0,20961.12
32,1932,10,0,21329.92
33,1929,10,0,21293.92
34,1947,10,0,21493.6
35,1958,10,0,21614.72
36,1947,10,0,21493.6
37,1958,10,0,21620.16
38,1963,9,0,21669.28
39,1957,10,0,21619.488
40,1961,10,0,21645.28
41,1948,10,0,21505.6
42,1947,10,0,21499.04
43,1971,10,0,21759.84
44,1956,10,0,21590.72
45,1957,10,0,21608.16
46,1949,10,0,21517.6
47,1951,10,0,21536.16
48,1958,10,0,21620.16
49,1957,10,0,21602.72
50,1936,10,0,21372.48
51,1956,10,0,21596.16
52,1951,10,0,21536.16
53,1956,10,0,21596.16
54,1952,10,0,21548.16
55,1960,9,0,21638.72
56,1941,11,0,21426.592
57,1946,10,0,21487.04
58,1951,10,0,21536.16
59,1959,10,0,21626.72
60,1963,10,0,21674.72
61,1954,10,0,21572.16
62,1951,10,0,21536.16
63,1939,10,0,21408.48
64,1957,10,0,21602.72
65,1947,10,0,21499.04
66,1957,10,0,21602.72
67,1955,10,0,21584.16
68,1960,10,0,21638.72
69,1950,10,0,21529.6
70,1958,10,0,21614.72
71,1937,10,0,21384.48
72,1950,9,0,21535.488
73,1952,10,0,21553.6
74,1947,10,0,21493.6
75,1956,10,0,21590.72
76,1953,10,0,21565.6
77,1938,10,0,21391.04
78,1962,10,0,21662.72
79,1930,10,0,21305.92
80,1937,10,0,21384.48
81,1944,10,0,21457.6
82,1941,11,0,21420.704
83,1948,10,0,21505.6
84,1947,10,0,21493.6
85,1948,10,0,21505.6
86,1937,10,0,21384.48
87,1937,10,0,21384.48
88,1932,10,0,21324.48
89,1956,10,0,21596.16
90,1934,9,0,21359.808
91,1942,10,0,21439.04
92,1955,10,0,21584.16
93,1948,10,0,21505.6
94,1943,10,0,21451.04
95,1958,10,0,21614.72
96,1957,10,0,21608.16
97,1958,10,0,21614.72
98,1942,10,0,21439.04
99,1945,10,0,21469.6
100,1958,10,0,21620.16
101,1960,10,0,21638.72
102,1947,10,0,21493.6
103,1951,10,0,21536.16
104,1966,10,0,21705.28
105,1962,10,0,21662.72
106,1965,10,0,21693.28
107,1955,9,0,21595.488
108,1949,10,0,21517.6
109,1965,11,0,21681.504
110,1965,10,0,21693.28
111,1966,10,0,21705.28
112,1954,10,0,21572.16
113,1973,10,0,21783.84
114,1957,10,0,21608.16
115,1984,10,0,21904.96
116,1963,10,0,21669.28
117,1967,10,0,21717.28
118,1969,10,0,21735.84
119,1958,10,0,21620.16
120,1956,10,0,21590.72
121,1970,10,0,21753.28
122,1973,10,0,21783.84
123,1960,10,0,21638.72
124,1974,9,0,21801.728
125,1965,10,0,21693.28
126,1967,10,0,21717.28
127,1966,10,0,21705.28
128,1969,10,0,21741.28
129,1963,10,0,21669.28
130,1965,9,0,21693.28
131,1982,10,0,21886.4
132,1957,10,0,21602.72
133,1966,10,0,21705.28
134,1962,10,0,21662.72
135,1957,11,0,21590.944
136,1964,10,0,21686.72
137,1966,10,0,21705.28
138,1965,10,0,21693.28
139,1970,10,0,21747.84
140,1979,9,0,21861.728
141,1966,10,0,21705.28
142,1959,10,0,21626.72
143,1971,10,0,21759.84
144,1958,10,0,21620.16
145,1969,10,0,21735.84
146,1977,10,0,21826.4
147,1957,10,0,21608.16
148,1969,10,0,21735.84
149,1966,10,0,21705.28
150,1967,10,0,21717.28
151,1966,10,0,21705.28
152,1960,10,0,21638.72
153,1962,10,0,21662.72
154,1946,10,0,21481.6
155,1954,10,0,21572.16
156,1957,10,0,21608.16
157,1964,9,0,21692.608
158,1957,10,0,21602.72
159,1970,10,0,21753.28
160,1959,10,0,21626.72
161,1959,11,0,21614.944
162,1959,10,0,21626.72
163,1952,10,0,21553.6
164,1956,10,0,21590.72
165,1965,10,0,21693.28
166,1955,10,0,21584.16
167,1957,10,0,21608.16
168,1954,10,0,21572.16
169,1969,10,0,21735.84
170,1960,10,0,21638.72
171,1963,10,0,21674.72
172,1961,9,0,21656.608
173,1967,10,0,21717.28
174,1958,10,0,21620.16
175,1965,10,0,21693.28
176,1962,10,0,21657.28
177,1972,10,0,21771.84
178,1963,10,0,21674.72
179,1967,10,0,21717.28
180,1959,10,0,21626.72
181,1961,10,0,21650.72
182,1970,10,0,21747.84
183,1969,10,0,21741.28
184,1957,10,0,21602.72
185,1954,10,0,21572.16
186,1962,10,0,21662.72
187,1969,10,0,21735.84
188,1964,10,0,21686.72
189,1953,9,0,21571.488
