Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,0,0,0,0
1,0,0,0,0
2,-1,-1,-1,-1
3,0,0,0,0
4,1381,15,0,15143.288
5,1877,10,0,20718.88
6,1867,10,0,20604.32
7,1804,10,0,19908.16
8,1799,10,0,19853.6
9,1783,10,0,19677.92
10,1766,10,0,19484.8
11,1729,10,0,19078.88
12,1748,9,0,19296.448
13,1776,10,0,19593.92
14,1846,10,0,20374.08
15,1861,10,0,20543.2
16,1883,10,0,20785.44
17,1872,10,0,20658.88
18,1874,10,0,20688.32
19,1891,10,0,20870.56
20,1904,10,0,21021.12
21,1913,10,0,21112.8
22,1951,10,0,21541.6
23,1951,10,0,21536.16
24,1973,10,0,21783.84
25,1953,10,0,21560.16
26,1899,10,0,20966.56
27,1914,10,0,21124.8
28,1927,10,0,21275.36
29,1906,10,0,21039.68
30,1887,9,0,20839.328
31,1928,10,0,21281.92
32,1911,10,0,21094.24
33,1891,10,0,20876
34,1885,10,0,20804
35,1836,10,0,20264.96
36,1874,10,0,20682.88
37,1918,10,0,21172.8
38,1903,10,0,21009.12
39,1850,10,0,20416.64
40,1860,10,0,20531.2
41,1830,10,0,20192.96
42,1865,10,0,20585.76
43,1835,11,0,20241.184
44,1786,9,0,19708.48
45,1855,10,0,20476.64
46,1835,10,0,20252.96
47,1789,9,0,19750.368
48,1827,10,0,20162.4
49,1849,10,0,20410.08
50,1868,10,0,20616.32
51,1856,10,0,20483.2
52,1823,10,0,20119.84
53,1863,10,0,20561.76
54,1896,10,0,20930.56
55,1888,10,0,20840
56,1836,10,0,20264.96
57,1884,10,0,20792
58,1902,10,0,20997.12
59,1832,10,0,20216.96
60,1878,10,0,20730.88
61,1888,10,0,20840
62,1902,10,0,20997.12
63,1927,9,0,21281.248
64,1928,10,0,21281.92
65,1903,10,0,21009.12
66,1951,10,0,21536.16
67,1904,10,0,21021.12
68,1947,10,0,21493.6
69,1951,10,0,21536.16
70,1968,10,0,21729.28
71,1922,10,0,21215.36
72,1918,10,0,21172.8
73,1957,10,0,21608.16
74,1923,10,0,21227.36
75,1906,10,0,21039.68
76,1930,10,0,21305.92
77,1951,10,0,21536.16
78,1943,10,0,21451.04
79,1912,9,0,21117.568
80,1983,10,0,21892.96
81,1950,11,0,21517.824
82,2004,10,0,22128.64
83,1986,10,0,21923.52
84,1980,10,0,21862.4
85,1932,10,0,21329.92
86,1918,10,0,21172.8
87,1981,10,0,21868.96
88,1986,10,0,21928.96
89,1936,10,0,21372.48
90,1967,10,0,21717.28
91,2003,10,0,22116.64
92,1965,10,0,21693.28
93,1960,10,0,21638.72
94,1923,10,0,21227.36
95,1997,9,0,22061.408
96,1936,10,0,21372.48
97,1940,10,0,21415.04
98,1952,10,0,21548.16
99,1918,10,0,21172.8
100,1964,10,0,21686.72
101,1930,10,0,21305.92
102,1949,10,0,21512.16
103,1921,10,0,21208.8
104,1948,10,0,21505.6
105,1936,10,0,21372.48
106,1905,10,0,21027.68
107,1977,10,0,21826.4
108,1928,10,0,21287.36
109,1904,10,0,21015.68
110,1897,10,0,20937.12
111,1894,10,0,20906.56
112,1878,10,0,20730.88
113,1922,9,0,21226.688
114,1900,10,0,20973.12
115,1888,10,0,20840
116,1949,10,0,21517.6
117,1871,10,0,20652.32
118,1815,10,0,20029.28
119,1867,10,0,20609.76
120,1924,10,0,21227.584
121,1882,10,0,20773.44
122,1859,10,0,20519.2
123,1857,10,0,20495.2
124,1867,10,0,20604.32
125,1852,10,0,20440.64
126,1870,10,0,20640.32
127,1815,10,0,20029.28
128,1899,10,0,20966.56
129,1852,9,0,20446.528
130,1863,10,0,20567.2
131,1875,10,0,20694.88
132,1836,10,0,20259.52
133,1841,10,0,20319.52
134,1843,10,0,20343.52
135,1847,10,0,20386.08
136,1804,10,0,19908.16
137,1840,10,0,20307.52
138,1861,10,0,20537.76
139,1825,10,0,20143.84
140,1844,10,0,20350.08
141,1876,10,0,20706.88
142,1804,10,0,19908.16
143,1826,10,0,20150.4
144,1802,10,0,19889.6
145,1804,10,0,19908.16
146,1865,9,0,20580.32
147,1816,10,0,20041.28
148,1808,10,0,19967.488
149,1883,10,0,20780
150,1772,10,0,19556.8
151,1850,10,0,20416.64
152,1810,10,0,19974.72
153,1806,10,0,19932.16
154,1808,10,0,19950.72
155,1805,10,0,19920.16
156,1811,10,0,19986.72
157,1843,10,0,20338.08
158,1797,10,0,19829.6
159,1847,11,0,20374.304
160,1838,10,0,20288.96
161,1794,10,0,19793.6
162,1803,10,0,19901.6
163,1814,9,0,20028.608
164,1806,10,0,19926.72
165,1853,10,0,20452.64
166,1822,10,0,20107.84
167,1836,10,0,20264.96
168,1823,10,0,20119.84
169,1821,10,0,20095.84
170,1773,10,0,19563.36
171,1818,10,0,20065.28
172,1825,10,0,20138.4
173,1840,10,0,20307.52
174,1823,10,0,20119.84
175,1876,10,0,20706.88
176,1822,10,0,20107.84
177,1825,10,0,20143.84
178,1846,10,0,20374.08
179,1841,9,0,20325.408
180,1836,10,0,20264.96
181,1805,10,0,19920.16
182,1876,10,0,20706.88
183,1882,10,0,20773.44
184,1825,10,0,20138.4
185,1807,10,0,19944.16
186,1838,10,0,20283.52
187,1835,10,0,20252.96
188,1816,10,0,20041.28
189,1824,10,0,20131.84
190,1890,10,0,20858.56
191,1857,10,0,20495.2
192,1855,10,0,20476.64
193,1890,10,0,20864
194,1782,10,0,19660.48
195,1881,9,0,20772.768
196,1874,10,0,20688.32
197,1878,10,0,20725.44
198,1878,11,0,20719.104
199,1883,10,0,20785.44
200,1822,10,0,20107.84
201,1890,10,0,20864
202,1837,10,0,20271.52
203,1867,10,0,20609.76
204,1896,10,0,20925.12
205,1892,10,0,20888
206,1870,10,0,20640.32
207,1924,10,0,21239.36
208,1862,10,0,20549.76
209,1879,10,0,20737.44
210,1927,10,0,21275.36
211,1889,9,0,20863.328
212,1874,10,0,20682.88
213,1880,10,0,20749.44
214,1897,10,0,20942.56
215,1910,10,0,21082.24
216,1931,10,0,21317.92
217,1915,10,0,21136.8
218,1896,10,0,20930.56
219,1891,10,0,20876
220,1900,10,0,20973.12
221,1938,10,0,21391.04
222,1913,10,0,21118.24
223,1954,10,0,21572.16
224,1884,10,0,20797.44
225,1875,10,0,20694.88
226,1937,10,0,21384.48
227,1924,10,0,21239.36
228,1949,9,0,21523.488
229,1935,10,0,21365.92
230,1971,10,0,21759.84
231,1921,10,0,21203.36
232,1918,10,0,21172.8
233,1921,11,0,21197.024
234,1901,10,0,20985.12
235,1935,10,0,21360.48
236,1941,10,0,21427.04
237,1906,10,0,21039.68
238,1908,10,0,21063.68
239,1959,10,0,21626.72
240,1958,10,0,21614.72
241,1907,10,0,21051.68
242,1962,10,0,21662.72
243,1948,10,0,21505.6
244,1952,10,0,21548.16
245,1909,10,0,21075.68
246,1940,9,0,21426.368
247,1957,10,0,21602.72
248,1922,10,0,21220.8
249,1958,10,0,21614.72
250,1903,10,0,21003.68
251,1940,10,0,21420.48
252,1903,10,0,21003.68
253,1908,10,0,21063.68
254,1932,10,0,21329.92
255,1914,10,0,21124.8
256,1937,10,0,21384.48
257,1927,10,0,21275.36
258,1962,10,0,21657.28
259,1964,10,0,21686.72
260,1903,10,0,21003.68
261,1902,10,0,20997.12
262,1941,10,0,21427.04
263,1938,9,0,21402.368
264,1868,10,0,20621.76
265,1975,10,0,21802.4
266,1932,10,0,21329.92
267,1916,10,0,21148.8
268,1949,11,0,21505.824
269,1918,10,0,21172.8
270,1971,10,0,21759.84
271,1960,10,0,21638.72
272,1962,10,0,21662.72
273,1950,10,0,21529.6
274,1935,10,0,21360.48
275,1965,10,0,21693.28
276,1945,10,0,21475.04
277,1936,10,0,21372.48
278,1976,10,0,21814.4
279,1973,10,0,21783.84
280,1986,9,0,21923.52
281,1980,10,0,21873.728
282,1945,10,0,21469.6
283,1913,10,0,21118.24
284,1949,10,0,21517.6
285,1995,10,0,22026.08
286,1915,10,0,21142.24
287,1928,10,0,21281.92
288,1935,10,0,21360.48
289,1946,10,0,21487.04
290,1973,10,0,21778.4
291,1916,10,0,21154.24
292,1989,10,0,21959.52
293,1969,10,0,21735.84
294,1938,10,0,21396.48
295,1969,10,0,21741.28
296,1968,10,0,21723.84
297,1953,10,0,21560.16
298,1963,9,0,21686.048
299,1974,10,0,21790.4
300,1951,10,0,21541.6
301,1935,10,0,21360.48
302,1917,10,0,21160.8
303,1965,11,0,21686.944
304,438,10,0,4739.312
