Time,PacketsReceived,ACKsReceived,PacketsLost,Goodput(kbit/s)
0,-1,-1,-1,-1
1,-1,-1,-1,-1
2,-1,-1,-1,-1
3,-1,-1,-1,-1
4,15,695,0,7.968
5,8,1155,0,5.376
6,9,1169,0,6.048
7,10,1173,3,6.72
8,7,1164,2,4.704
9,7,1160,3,4.704
10,9,1173,0,6.048
11,7,1153,3,4.704
12,9,1162,0,6.048
13,11,1157,0,7.392
14,9,1163,0,6.048
15,9,1158,1,6.048
16,9,1154,0,6.048
17,11,1153,0,7.392
18,7,1166,0,4.704
19,10,1172,2,6.72
20,10,1178,0,6.72
21,9,1167,0,6.048
22,10,1160,1,6.72
23,9,1139,0,6.048
24,10,1167,0,6.72
25,9,1156,1,6.048
26,7,1146,1,4.704
27,9,1153,0,6.048
28,8,1157,3,5.376
29,10,1165,1,6.72
30,8,1164,1,5.376
31,10,1165,0,6.72
32,10,1154,0,6.72
33,10,1133,0,6.72
34,8,1158,0,5.376
35,12,1125,0,7.616
36,10,1143,0,6.72
37,8,1148,0,5.376
38,11,1119,0,7.392
39,6,1143,2,4.032
40,6,1143,4,4.032
41,8,1138,1,5.376
42,9,1140,1,6.048
43,10,1141,1,6.72
44,5,1160,3,3.36
45,2,1172,5,1.344
46,7,1162,4,4.704
47,8,1157,4,5.376
48,5,1150,3,3.36
49,8,1155,3,5.376
50,4,1146,4,2.688
51,5,1166,4,3.36
52,9,1154,3,6.048
53,6,1158,2,4.032
54,4,1163,5,2.688
55,7,1172,2,4.704
56,6,1148,4,4.032
57,6,1169,4,4.032
58,5,1155,4,3.36
59,5,1164,4,3.36
60,4,1156,4,2.688
61,7,1167,3,4.704
62,9,1165,3,6.048
63,3,1170,5,2.016
64,5,1169,6,3.36
65,7,1169,1,4.704
66,7,1167,3,4.704
67,10,1180,2,6.272
68,5,1149,5,3.36
69,4,1165,2,2.688
70,6,1161,6,4.032
71,3,1167,4,2.016
72,6,1170,3,4.032
73,8,1162,3,5.376
74,3,1156,6,2.016
75,12,1150,1,8.064
76,6,1158,3,4.032
77,4,1166,3,2.688
78,6,1162,2,4.032
79,4,1147,8,2.688
80,6,1127,4,4.032
81,4,1147,4,2.688
82,4,1116,4,2.688
83,9,1128,3,6.048
84,6,1133,3,4.032
85,8,1116,4,5.376
86,7,1132,0,4.704
87,9,1121,2,6.048
88,8,1101,2,5.376
89,4,1090,6,2.688
90,8,1108,2,5.376
91,5,1118,2,3.36
92,9,1104,3,6.048
93,4,1094,4,2.688
94,9,1105,3,6.048
95,7,1075,2,4.704
96,5,1093,3,3.36
97,9,1085,1,6.048
98,3,1081,4,2.016
99,6,1085,5,3.584
100,7,1108,3,4.704
101,10,1094,2,6.72
102,4,1091,4,2.688
103,4,1129,5,2.688
104,5,1105,3,3.36
105,9,1118,3,6.048
106,8,1117,2,5.376
107,9,1129,1,6.048
108,9,1118,1,6.048
109,9,1125,1,6.048
110,7,1111,2,4.704
111,6,1116,2,4.032
112,10,1130,2,6.72
113,9,1101,0,6.048
114,9,1083,1,6.048
115,7,1069,2,4.704
116,6,1105,4,4.032
117,8,1099,2,5.376
118,6,1099,2,4.032
119,8,1100,3,5.376
120,9,1118,1,6.048
121,6,1095,3,4.032
122,4,1125,3,2.688
123,5,1153,4,3.36
124,10,1122,3,6.72
125,5,1147,2,3.36
126,7,1153,3,4.704
127,10,1114,2,6.72
128,7,1103,1,4.704
129,9,1135,1,6.048
130,6,1123,2,3.584
131,7,1160,3,4.704
132,10,1126,3,6.72
133,3,1149,3,2.016
134,11,1135,2,7.392
135,6,1129,0,4.032
136,9,1123,3,6.048
137,9,1160,2,6.048
138,6,1130,3,4.032
139,7,1142,3,4.704
140,8,1131,1,5.376
141,5,1155,1,3.36
142,5,1127,4,3.36
143,14,1148,1,9.408
144,9,1107,0,6.048
145,10,1123,0,6.72
146,9,1103,0,6.048
147,10,1127,1,6.72
148,7,1112,1,4.704
149,10,1112,1,6.72
150,7,1130,2,4.704
151,8,1130,3,5.376
152,8,1121,1,5.376
153,8,1140,2,5.376
154,10,1124,0,6.72
155,9,1144,0,6.048
156,9,1107,1,6.048
157,9,1107,1,6.048
158,10,1128,0,6.72
159,9,1144,1,6.048
160,10,1146,0,6.72
161,9,1134,0,6.048
162,5,1135,0,2.912
163,6,1088,4,4.032
164,9,1142,2,6.048
165,3,1140,5,2.016
166,13,1129,2,8.736
167,9,1106,1,6.048
168,10,1133,0,6.72
169,10,1096,0,6.72
170,6,1135,2,4.032
171,4,1102,4,2.688
172,11,1144,1,7.392
173,9,1151,0,6.048
174,4,1115,6,2.688
175,8,1116,0,5.376
176,10,1122,2,6.72
177,3,1144,3,2.016
178,10,1122,3,6.72
179,8,1133,1,5.376
180,3,1136,4,2.016
181,7,1134,3,4.704
182,10,1145,2,6.72
183,9,1143,0,6.048
184,8,1134,2,5.376
185,5,1150,3,3.36
186,10,1152,1,6.72
187,6,1148,3,4.032
188,9,1160,2,6.048
189,10,1157,0,6.72
190,7,1162,0,4.704
191,11,1135,1,7.392
192,9,1162,0,6.048
193,6,1134,3,4.032
194,10,1157,2,6.272
195,8,1166,2,5.376
196,4,1143,3,2.688
197,8,1130,3,5.376
198,11,1147,0,7.392
199,5,1127,2,3.36
200,8,1130,2,5.376
201,8,1149,1,5.376
202,7,1143,5,4.704
203,8,1152,0,5.376
204,7,1133,2,4.704
205,9,1130,3,6.048
206,8,1137,2,5.376
207,9,1140,0,6.048
208,3,1141,4,2.016
209,12,1120,0,8.064
210,8,1131,1,5.376
211,9,1134,1,6.048
212,6,1131,3,4.032
213,9,1116,1,6.048
214,6,1135,3,4.032
215,7,1108,5,4.704
216,8,1149,2,5.376
217,5,1125,2,3.36
218,12,1144,0,8.064
219,8,1144,1,5.376
220,7,1121,1,4.704
221,11,1141,0,7.392
222,6,1127,4,4.032
223,7,1145,3,4.704
224,10,1153,0,6.72
225,9,1133,1,5.6
226,9,1145,0,6.048
227,10,1131,1,6.72
228,9,1125,0,6.048
229,8,1118,2,5.376
230,7,1132,0,4.704
231,11,1138,2,7.392
232,7,1112,0,4.704
233,9,1143,2,6.048
234,9,1133,0,6.048
235,9,1119,1,6.048
236,11,1130,0,7.392
237,8,1123,1,5.376
238,8,1126,0,5.376
239,10,1117,1,6.72
240,10,1139,1,6.72
241,9,1146,0,6.048
242,8,1118,1,5.376
243,6,1117,2,4.032
244,6,1124,4,4.032
245,4,1102,4,2.688
246,11,1103,2,7.392
247,4,1134,2,2.688
248,11,1129,2,7.392
249,7,1118,0,4.704
250,12,1149,1,8.064
251,7,1142,0,4.704
252,10,1119,2,6.72
253,8,1148,1,5.376
254,8,1128,2,5.376
255,10,1134,0,6.72
256,10,1139,0,6.72
257,7,1104,2,4.256
258,7,1145,2,4.704
259,9,1127,1,6.048
260,8,1127,2,5.376
261,5,1144,4,3.36
262,8,1118,3,5.376
263,10,1139,0,6.72
264,9,1128,1,6.048
265,8,1128,0,5.376
266,11,1122,1,7.392
267,9,1114,0,6.048
268,9,1122,1,6.048
269,8,1138,1,5.376
270,10,1137,0,6.72
271,8,1128,0,5.376
272,6,1104,3,4.032
273,10,1112,1,6.72
274,10,1124,1,6.72
275,9,1163,0,6.048
276,11,1130,0,7.392
277,8,1133,0,5.376
278,8,1129,0,5.376
279,13,1135,0,8.736
280,10,1131,0,6.72
281,8,1148,1,5.376
282,9,1135,1,6.048
283,5,1134,2,3.36
284,10,1138,1,6.72
285,10,1154,1,6.72
286,9,1141,1,6.048
287,8,1129,1,5.376
288,9,1158,1,5.6
289,10,1140,1,6.72
290,9,1150,0,6.048
291,9,1167,0,6.048
292,8,1114,2,5.376
293,7,1157,2,4.704
294,9,1145,2,6.048
295,10,1161,0,6.72
296,9,1156,1,6.048
297,8,1148,1,5.376
298,5,1150,1,3.36
299,11,1153,2,7.392
300,10,1152,0,6.72
301,9,1153,0,6.048
302,11,1133,0,7.392
303,8,1176,0,5.376
